...1,web_name,gameweek,event_points,next_gw_points,total_points,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,correct_as_of_time
89,Roerslev,1,0,1,0,NA,NA,226956,0,0,0,0,0,2,1.2,0.7,Mads,0,89,FALSE,NA,NA,4.5,226956.jpg,0,Roerslev Rasmussen,0.1,FALSE,NA,a,3,94,80,80,1159,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,151,383,151,334,132,395,151,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
90,Sørensen,1,1,0,1,NA,NA,228044,0,0,0,0,0,2,1.2,0.7,Mads,1,90,FALSE,NA,NA,4.5,228044.jpg,1,Bech Sørensen,0.1,FALSE,NA,a,3,94,340,340,914,914,0.2,0.2,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,385,152,384,152,337,133,396,152,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
91,Pinnock,1,11,2,11,NA,NA,231065,0,0,0,0,1,2,1.2,0.7,Ethan,11,91,TRUE,NA,NA,4.5,231065.jpg,11,Pinnock,3.8,FALSE,NA,a,3,94,162556,162556,16962,16962,2.4,2.4,90,0,1,1,0,0,0,0,0,0,0,2,32,36.8,11.1,0,4.8,30,7,112,31,339,134,79,19,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
92,Balcombe,1,0,0,0,0,0,235448,0,0,0,0,0,1,0,0,Ellery,0,92,FALSE,Season long loan to Burton Albion,2021-07-08T07:34:45Z,4,235448.jpg,0,Balcombe,0,FALSE,NA,u,3,94,0,0,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,32,279,13,214,12,301,32,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
93,Zamburek,1,0,0,0,NA,NA,420922,0,0,0,0,0,3,0.5,0,Jan,0,93,FALSE,NA,NA,4.5,420922.jpg,0,Zamburek,0.8,FALSE,NA,a,3,94,7636,7636,7411,7411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,154,402,159,360,141,414,158,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
94,Gunnarsson,1,0,0,0,NA,NA,434024,0,0,0,0,0,1,0.5,0,Patrik,0,94,FALSE,NA,NA,4,434024.jpg,0,Gunnarsson,1.5,FALSE,NA,a,3,94,6058,6058,4068,4068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,33,280,14,215,13,302,33,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
95,Dervisoglu,1,0,0,0,NA,NA,434662,0,0,0,0,0,4,1.1,0.6,Halil,0,95,FALSE,NA,NA,5.5,434662.jpg,0,Dervisoglu,0,FALSE,NA,a,3,94,485,485,856,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,60,520,63,512,59,523,63,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
96,Mbeumo,1,3,1,3,NA,NA,446008,0,0,0,0,0,3,1.4,0.9,Bryan,3,96,FALSE,NA,NA,5.5,446008.jpg,3,Mbeumo,1.3,FALSE,NA,a,3,94,23499,23499,8702,8702,0.5,0.5,85,0,0,1,0,0,0,0,0,0,0,0,4,2.4,13.3,22,3.8,236,106,91,58,55,32,113,63,3,NA,3,NA,NA,NA,2021-08-20T17:10:45Z
97,Bidstrup,1,1,0,1,NA,NA,481405,0,0,0,0,0,3,0.5,0,Mads,1,97,FALSE,NA,NA,4.5,481405.jpg,1,Bidstrup,0.1,FALSE,NA,a,3,94,1359,1359,860,860,0.2,0.2,10,0,0,0,0,0,0,0,0,0,0,0,4,4.2,0.3,0,0.5,209,92,235,127,373,148,252,120,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
98,Tarkowski,1,6,1,6,NA,NA,17761,0,0,0,0,0,2,1.2,1.7,James,6,98,FALSE,NA,NA,5,17761.jpg,6,Tarkowski,1.6,FALSE,NA,a,5,90,12280,12280,8845,8845,1.2,1.2,90,1,0,0,2,0,0,0,1,0,0,0,13,49,0.6,44,9.4,14,4,218,69,18,4,25,4,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
